Fecha	Hora	Nivel (msnm)	Aforador - Caudal (l/s)	PZ-2-A-1 (Hz)	PZ-2-A-1 (mca)	PZ-2-A-1 (N. Piezom.)	PZ-2-A-1 (%)	PZ-2-A-2 (Hz)	PZ-2-A-2 (mca)	PZ-2-A-2 (N. Piezom.)	PZ-2-A-2 (%)	PZ-2-A-3 (Hz)	PZ-2-A-3 (mca)	PZ-2-A-3 (N. Piezom.)	PZ-2-A-3 (%)	PZ-2-B-1 (Hz)	PZ-2-B-1 (mca)	PZ-2-B-1 (N. Piezom.)
19/01/2020	10:26:33	44,53	0,989	2947,2	-1,177	47,523	28,227	0	181,831	228,031	-10888,081	0	196,267	239,467	14756,947	0	177,482	222,282
19/01/2020	10:26:33	44,54	1,003	2947,4	-1,204	47,496	28,812	0	181,831	228,031	-10823,282	230,4	195,125	238,325	14782,181	0	177,482	222,282
20/01/2020	10:26:33	44,52	1	2947,6	-1,232	47,468	29,677	0	181,831	228,031	-11020,062	0	196,267	239,467	14538,321	0	177,482	222,282
20/01/2020	10:26:33	44,52	1,005	2947,7	-1,245	47,455	29,79	0	181,831	228,031	-10823,282	0	196,267	239,467	14868,724	3019,4	-1,48	43,32
21/01/2020	10:26:33	44,51	0,992	0	199,643	248,343	-4776,147	0	181,831	228,031	-10823,282	0	196,267	239,467	14868,724	0	177,482	222,282
21/01/2020	10:26:33	44,52	0,995	0	199,643	248,343	-4787,599	0	181,831	228,031	-10888,081	0	196,267	239,467	14756,947	0	177,482	222,282
22/01/2020	10:26:33	44,52	1,003	2947,9	-1,272	47,428	30,442	0	181,831	228,031	-10823,282	0	196,267	239,467	14868,724	0	177,482	222,282
22/01/2020	10:26:33	44,53	1,018	0	199,643	248,343	-4776,147	0	181,831	228,031	-10823,282	0	196,267	239,467	14868,724	3019,4	-1,48	43,32
23/01/2020	10:26:33	44,54	1,016	0	199,643	248,343	-4787,599	0	181,831	228,031	-10888,081	0	196,267	239,467	14756,947	0	177,482	222,282
23/01/2020	10:26:33	44,54	1,016	0	199,643	248,343	-4787,599	0	181,831	228,031	-10888,081	0	196,267	239,467	14756,947	0	177,482	222,282
24/01/2020	10:26:33	44,56	1,095	0	199,643	248,343	-4799,11	0	181,831	228,031	-10953,687	0	196,267	239,467	14646,797	3019	-1,432	43,368
24/01/2020	10:26:33	44,58	1,171	2947,7	-1,245	47,455	30,005	0	181,831	228,031	-11020,062	0	196,267	239,467	14538,321	3019,2	-1,456	43,344
25/01/2020	10:26:33	44,65	1,203	0	199,643	248,343	-4833,969	0	181,831	228,031	-11155,279	0	196,267	239,467	14326,077	0	177,482	222,282
25/01/2020	10:26:33	44,8	1,171	2947,3	-1,191	47,509	29,042	0	181,831	228,031	-11364,433	0	196,267	239,467	14019,103	0	177,482	222,282
26/01/2020	10:26:33	44,84	1,14	2946,9	-1,136	47,564	28,984	0	181,831	228,031	-12804,994	0	196,267	239,467	12421,984	0	177,482	222,282
26/01/2020	10:26:33	44,85	1,121	257,6	198,109	246,809	-5119,091	0	181,831	228,031	-13272,358	0	196,267	239,467	12040,919	0	177,482	222,282
27/01/2020	10:26:33	44,85	1,119	2946,5	-1,082	47,618	28,023	0	181,831	228,031	-13369,934	0	196,267	239,467	11967,511	0	177,482	222,282
27/01/2020	10:26:33	44,86	1,112	2946,3	-1,054	47,646	27,388	0	181,831	228,031	-13468,953	0	196,267	239,467	11894,993	244	176,314	221,114
28/01/2020	10:26:33	44,86	1,09	0	199,643	248,343	-5185,528	0	181,831	228,031	-13468,953	0	196,267	239,467	11894,993	0	177,482	222,282
28/01/2020	10:26:33	44,87	1,1	2946,1	-1,027	47,673	26,751	0	181,831	228,031	-13569,488	0	196,267	239,467	11823,32	0	177,482	222,282
29/01/2020	10:26:33	44,87	1,085	2946,2	-1,041	47,659	27,034	0	181,831	228,031	-13468,953	0	196,267	239,467	11894,993	0	177,482	222,282
29/01/2020	10:26:33	44,87	1,095	2946,2	-1,041	47,659	27,175	0	181,831	228,031	-13671,498	0	196,267	239,467	11752,534	0	177,482	222,282
30/01/2020	10:26:33	44,86	1,079	0	199,643	248,343	-5212,607	0	181,831	228,031	-13671,498	0	196,267	239,467	11752,534	0	177,482	222,282
30/01/2020	10:26:33	44,87	1,084	2946,1	-1,027	47,673	26,82	0	181,831	228,031	-13671,498	0	196,267	239,467	11752,534	0	177,482	222,282
31/01/2020	10:26:33	44,87	1,074	0	199,643	248,343	-5199,035	0	181,831	228,031	-13569,488	0	196,267	239,467	11823,32	304,8	175,659	220,459
31/01/2020	10:26:33	44,87	1,085	2946,2	-1,041	47,659	27,175	0	181,831	228,031	-13671,498	0	196,267	239,467	11752,534	0	177,482	222,282
01/02/2020	10:26:33	44,87	1,085	0	199,643	248,343	-5226,256	0	181,831	228,031	-13775,093	0	196,267	239,467	11682,563	0	177,482	222,282
01/02/2020	10:26:33	44,89	1,087	0	199,643	248,343	-5212,607	0	181,831	228,031	-13671,498	0	196,267	239,467	11752,534	0	177,482	222,282
02/02/2020	10:26:33	44,88	1,084	2946	-1,014	47,686	26,534	0	181,831	228,031	-13775,093	0	196,267	239,467	11682,563	3018	-1,314	43,486
02/02/2020	10:26:33	44,89	1,08	2946	-1,014	47,686	26,534	0	181,831	228,031	-13775,093	267,8	194,724	237,924	11590,697	220,1	176,531	221,331
03/02/2020	10:26:33	44,88	1,082	0	199,643	248,343	-5226,256	0	181,831	228,031	-13775,093	0	196,267	239,467	11682,563	0	177,482	222,282
03/02/2020	10:26:33	44,89	1,085	0	199,643	248,343	-5226,256	0	181,831	228,031	-13775,093	0	196,267	239,467	11682,563	0	177,482	222,282
04/02/2020	10:26:33	44,88	1,07	0	199,643	248,343	-5226,256	0	181,831	228,031	-13775,093	0	196,267	239,467	11682,563	0	177,482	222,282
04/02/2020	10:26:33	44,88	1,077	2946,1	-1,027	47,673	26,82	0	181,831	228,031	-13671,498	0	196,267	239,467	11752,534	0	177,482	222,282
05/02/2020	10:26:33	44,88	1,07	0	199,643	248,343	-5226,256	0	181,831	228,031	-13775,093	0	196,267	239,467	11682,563	3018,4	-1,361	43,439
05/02/2020	10:26:33	44,88	1,079	0	199,643	248,343	-5212,607	0	181,831	228,031	-13671,498	0	196,267	239,467	11752,534	3018,4	-1,361	43,439
06/02/2020	10:26:33	44,87	1,059	0	199,643	248,343	-5212,607	0	181,831	228,031	-13671,498	0	196,267	239,467	11752,534	0	177,482	222,282
06/02/2020	10:26:33	44,86	1,067	2946,4	-1,068	47,632	27,886	0	181,831	228,031	-13671,498	0	196,267	239,467	11752,534	269,9	176,052	220,852
07/02/2020	10:26:33	44,87	1,057	2946,5	-1,082	47,618	28,169	0	181,831	228,031	-13569,488	0	196,267	239,467	11823,32	0	177,482	222,282
07/02/2020	10:26:33	44,89	1,07	287,9	197,727	246,427	-5162,573	0	181,831	228,031	-13671,498	0	196,267	239,467	11752,534	3018,4	-1,361	43,439
08/02/2020	10:26:33	44,91	1,054	2946,3	-1,054	47,646	27,531	2941,4	2,046	48,246	-153,841	0	196,267	239,467	11752,534	0	177,482	222,282
08/02/2020	10:26:33	44,95	1,055	2946,2	-1,041	47,659	27,462	0	181,831	228,031	-14095,43	0	196,267	239,467	11477,614	0	177,482	222,282
09/02/2020	10:26:33	44,97	1,06	0	199,643	248,343	-5295,568	0	181,831	228,031	-14317,41	0	196,267	239,467	11344,923	0	177,482	222,282
09/02/2020	10:26:33	45	1,077	2946	-1,014	47,686	27,174	0	181,831	228,031	-14783,027	0	196,267	239,467	11088,534	0	177,482	222,282
10/02/2020	10:26:33	44,99	1,08	0	199,643	248,343	-5366,745	0	181,831	228,031	-14904,18	0	196,267	239,467	11026,25	3017,6	-1,267	43,533
10/02/2020	10:26:33	44,98	1,08	2945,9	-1	47,7	26,953	0	181,831	228,031	-15027,382	0	196,267	239,467	10964,637	3017,8	-1,29	43,51
11/02/2020	10:26:33	44,99	1,072	0	199,643	248,343	-5381,213	0	181,831	228,031	-15027,382	0	196,267	239,467	10964,637	3017,9	-1,302	43,498
11/02/2020	10:26:33	44,99	1,084	0	199,643	248,343	-5366,745	0	181,831	228,031	-14904,18	0	196,267	239,467	11026,25	0	177,482	222,282
12/02/2020	10:26:33	44,99	1,065	2946,2	-1,041	47,659	27,979	2952,5	0,687	46,887	-56,278	0	196,267	239,467	11026,25	0	177,482	222,282
12/02/2020	10:26:33	44,99	1,084	2946,4	-1,068	47,632	28,788	201,8	180,985	227,185	-14957,446	0	196,267	239,467	10964,637	3018,2	-1,338	43,462
13/02/2020	10:26:33	44,99	1,069	0	199,643	248,343	-5381,213	0	181,831	228,031	-15027,382	0	196,267	239,467	10964,637	0	177,482	222,282
13/02/2020	10:26:33	44,99	1,085	2946,3	-1,054	47,646	28,422	0	181,831	228,031	-15027,382	0	196,267	239,467	10964,637	3018,4	-1,361	43,439
14/02/2020	10:26:33	44,99	1,082	0	199,643	248,343	-5395,754	0	181,831	228,031	-15152,588	0	196,267	239,467	10903,733	0	177,482	222,282
14/02/2020	10:26:33	45,02	1,094	2946,3	-1,054	47,646	28,422	0	181,831	228,031	-15027,382	0	196,267	239,467	10964,637	0	177,482	222,282
15/02/2020	10:26:33	45,04	1,067	0	199,643	248,343	-5425,08	296,9	179,999	226,199	-15254,184	0	196,267	239,467	10783,909	3018	-1,314	43,486
15/02/2020	10:26:33	45,07	1,074	2946,4	-1,068	47,632	29,182	0	181,831	228,031	-15675,104	0	196,267	239,467	10666,689	0	177,482	222,282
16/02/2020	10:26:33	45,09	1,085	0	199,643	248,343	-5499,804	274,3	180,268	226,468	-15952,879	0	196,267	239,467	10495,573	279	175,954	220,754
16/02/2020	10:26:33	45,11	1,089	2946,3	-1,054	47,646	29,209	0	181,831	228,031	-16381,179	0	196,267	239,467	10384,506	3017,8	-1,29	43,51
17/02/2020	10:26:33	45,11	1,082	2946,3	-1,054	47,646	29,372	0	181,831	228,031	-16681,756	0	196,267	239,467	10275,766	3017,6	-1,267	43,533
17/02/2020	10:26:33	45,12	1,1	2946,3	-1,054	47,646	29,372	0	181,831	228,031	-16681,756	0	196,267	239,467	10275,766	3017,8	-1,29	43,51
18/02/2020	10:26:33	45,11	1,084	2946,3	-1,054	47,646	29,372	0	181,831	228,031	-16681,756	0	196,267	239,467	10275,766	0	177,482	222,282
18/02/2020	10:26:33	45,11	1,095	0	199,643	248,343	-5561,085	0	181,831	228,031	-16681,756	229,5	195,134	238,334	10216,422	0	177,482	222,282
19/02/2020	10:26:33	45,11	1,089	2946,5	-1,082	47,618	30,215	270	180,316	226,516	-16695,928	0	196,267	239,467	10222,255	0	177,482	222,282
19/02/2020	10:26:33	45,12	1,106	2946,5	-1,082	47,618	30,131	270	180,316	226,516	-16542,779	0	196,267	239,467	10275,766	0	177,482	222,282
20/02/2020	10:26:33	45,11	1,082	0	199,643	248,343	-5545,634	233,7	180,696	226,896	-16426,898	243,6	194,99	238,19	10262,648	0	177,482	222,282
20/02/2020	10:26:33	45,1	1,089	2946,7	-1,109	47,591	30,89	0	181,831	228,031	-16681,756	0	196,267	239,467	10275,766	3018,4	-1,361	43,439
21/02/2020	10:26:33	45,1	1,075	0	199,643	248,343	-5545,634	0	181,831	228,031	-16530,072	0	196,267	239,467	10329,86	3018,1	-1,326	43,474
21/02/2020	10:26:33	45,13	1,085	2946,7	-1,109	47,591	30,89	0	181,831	228,031	-16681,756	0	196,267	239,467	10275,766	0	177,482	222,282
22/02/2020	10:26:33	45,15	1,069	0	199,643	248,343	-5561,085	0	181,831	228,031	-16681,756	0	196,267	239,467	10275,766	0	177,482	222,282
22/02/2020	10:26:33	45,18	1,09	2946,6	-1,095	47,605	30,768	0	181,831	228,031	-17153,861	0	196,267	239,467	10116,868	0	177,482	222,282
23/02/2020	10:26:33	45,19	1,099	2946,5	-1,082	47,618	30,556	0	181,831	228,031	-17483,75	0	196,267	239,467	10013,632	0	177,482	222,282
23/02/2020	10:26:33	45,22	1,102	2946,5	-1,082	47,618	30,817	0	181,831	228,031	-18003,049	0	196,267	239,467	9862,68	0	177,482	222,282
24/02/2020	10:26:33	45,21	1,09	2946,5	-1,082	47,618	30,905	0	181,831	228,031	-18183,117	0	196,267	239,467	9813,355	0	177,482	222,282
24/02/2020	10:26:33	45,22	1,114	0	199,643	248,343	-5720,426	0	181,831	228,031	-18366,754	0	196,267	239,467	9764,541	0	177,482	222,282
25/02/2020	10:26:33	45,21	1,106	2946,7	-1,109	47,591	31,684	0	181,831	228,031	-18183,117	0	196,267	239,467	9813,355	0	177,482	222,282
25/02/2020	10:26:33	45,21	1,114	2946,8	-1,123	47,577	32,166	0	181,831	228,031	-18366,754	0	196,267	239,467	9764,541	0	177,482	222,282
26/02/2020	10:26:33	45,21	1,107	2946,8	-1,123	47,577	32,074	0	181,831	228,031	-18183,117	0	196,267	239,467	9813,355	0	177,482	222,282
26/02/2020	10:26:33	45,21	1,123	2946,9	-1,136	47,564	32,555	0	181,831	228,031	-18366,754	0	196,267	239,467	9764,541	189,9	176,775	221,575
27/02/2020	10:26:33	45,21	1,107	0	199,643	248,343	-5704,084	0	181,831	228,031	-18183,117	0	196,267	239,467	9813,355	0	177,482	222,282
27/02/2020	10:26:33	45,21	1,119	2947	-1,15	47,55	32,852	0	181,831	228,031	-18183,117	0	196,267	239,467	9813,355	0	177,482	222,282
28/02/2020	10:26:33	45,2	1,106	0	199,643	248,343	-5720,426	0	181,831	228,031	-18366,754	0	196,267	239,467	9764,541	0	177,482	222,282
28/02/2020	10:26:33	45,2	1,109	2947,1	-1,163	47,537	33,337	0	181,831	228,031	-18366,754	0	196,267	239,467	9764,541	3018,6	-1,385	43,415
29/02/2020	10:26:33	45,2	1,116	0	199,643	248,343	-5704,084	0	181,831	228,031	-18183,117	0	196,267	239,467	9813,355	0	177,482	222,282
29/02/2020	10:26:33	45,2	1,121	2947,2	-1,177	47,523	33,631	0	181,831	228,031	-18183,117	0	196,267	239,467	9813,355	0	177,482	222,282
01/03/2020	10:26:33	45,21	1,116	0	199,643	248,343	-5720,426	0	181,831	228,031	-18366,754	0	196,267	239,467	9764,541	0	177,482	222,282
01/03/2020	10:26:33	45,21	1,121	2947,3	-1,191	47,509	34,021	0	181,831	228,031	-18183,117	0	196,267	239,467	9813,355	0	177,482	222,282
02/03/2020	10:26:33	45,21	1,087	0	199,643	248,343	-5720,426	0	181,831	228,031	-18366,754	0	196,267	239,467	9764,541	0	177,482	222,282
